Library	SampleID	Species	tissue	light	nutrient	genotype	treatment_1	treatment_2	time	rep	project	exp	included
1106_AD	noP_MgCl_d12_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	4	3	R129_E-time	1	TRUE
1106_AE	P_350_d12_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	4	1	R129_E-time	1	TRUE
1106_AF	P_350_d12_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	4	2	R129_E-time	1	TRUE
1106_AG	P_350_d12_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	4	3	R129_E-time	1	TRUE
1106_AH	noP_350_d12_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	4	1	R129_E-time	1	TRUE
1106_AI	noP_350_d12_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	4	2	R129_E-time	1	TRUE
1106_AJ	noP_350_d12_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	4	3	R129_E-time	1	TRUE
1106_AK	P_MgCl_d16_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	8	1	R129_E-time	1	TRUE
1106_AL	P_MgCl_d16_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	8	2	R129_E-time	1	TRUE
1106_AM	P_MgCl_d16_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	8	3	R129_E-time	1	TRUE
1106_AN	noP_MgCl_d16_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	8	1	R129_E-time	1	TRUE
1106_AO	noP_MgCl_d16_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	8	2	R129_E-time	1	TRUE
1106_AP	noP_MgCl_d16_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	axenic	mock	8	3	R129_E-time	1	TRUE
1106_AQ	P_350_d16_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	8	1	R129_E-time	1	TRUE
1106_AR	P_350_d16_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	8	2	R129_E-time	1	TRUE
1106_AS	P_350_d16_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	R129_E	mock	8	3	R129_E-time	1	TRUE
1106_AT	noP_350_d16_1	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	8	1	R129_E-time	1	TRUE
1106_AU	noP_350_d16_2	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	8	2	R129_E-time	1	TRUE
1106_AV	noP_350_d16_3	Arabidopsis thaliana	Root	Normal	low_P	Col-0	R129_E	mock	8	3	R129_E-time	1	TRUE
3470_A	NC_Root_N_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	35	1	ShijiHou	1	TRUE
3470_B	NC_Root_N_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	35	2	ShijiHou	1	TRUE
3470_C	NC_Root_N_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	axenic	mock	35	3	ShijiHou	1	TRUE
3470_D	NC_Shoot_N_1	Arabidopsis thaliana	Shoot	Normal	Normal	Col-0	axenic	mock	35	1	ShijiHou	1	FALSE
3470_E	NC_Shoot_N_2	Arabidopsis thaliana	Shoot	Normal	Normal	Col-0	axenic	mock	35	2	ShijiHou	1	FALSE
3470_F	NC_Shoot_N_3	Arabidopsis thaliana	Shoot	Normal	Normal	Col-0	axenic	mock	35	3	ShijiHou	1	FALSE
3470_G	SC_Root_N_1	Arabidopsis thaliana	Root	Shaded	Normal	Col-0	axenic	mock	35	1	ShijiHou	1	TRUE
3470_H	SC_Root_N_2	Arabidopsis thaliana	Root	Shaded	Normal	Col-0	axenic	mock	35	2	ShijiHou	1	TRUE
3470_I	SC_Root_N_3	Arabidopsis thaliana	Root	Shaded	Normal	Col-0	axenic	mock	35	3	ShijiHou	1	TRUE
3470_J	SC_Shoot_N_1	Arabidopsis thaliana	Shoot	Shaded	Normal	Col-0	axenic	mock	35	1	ShijiHou	1	FALSE
3470_K	SC_Shoot_N_2	Arabidopsis thaliana	Shoot	Shaded	Normal	Col-0	axenic	mock	35	2	ShijiHou	1	FALSE
3470_L	SC_Shoot_N_3	Arabidopsis thaliana	Shoot	Shaded	Normal	Col-0	axenic	mock	35	3	ShijiHou	1	FALSE
3470_M	NC_Root_Y_1	Arabidopsis thaliana	Root	Normal	Normal	Col-0	BFO-SynCom	mock	35	1	ShijiHou	1	TRUE
3470_N	NC_Root_Y_2	Arabidopsis thaliana	Root	Normal	Normal	Col-0	BFO-SynCom	mock	35	2	ShijiHou	1	TRUE
3470_O	NC_Root_Y_3	Arabidopsis thaliana	Root	Normal	Normal	Col-0	BFO-SynCom	mock	35	3	ShijiHou	1	TRUE
3470_P	NC_Shoot_Y_1	Arabidopsis thaliana	Shoot	Normal	Normal	Col-0	BFO-SynCom	mock	35	1	ShijiHou	1	FALSE
3470_Q	NC_Shoot_Y_2	Arabidopsis thaliana	Shoot	Normal	Normal	Col-0	BFO-SynCom	mock	35	2	ShijiHou	1	FALSE
3470_R	NC_Shoot_Y_3	Arabidopsis thaliana	Shoot	Normal	Normal	Col-0	BFO-SynCom	mock	35	3	ShijiHou	1	FALSE
3470_S	SC_Root_Y_1	Arabidopsis thaliana	Root	Shaded	Normal	Col-0	BFO-SynCom	mock	35	1	ShijiHou	1	TRUE
3470_T	SC_Root_Y_2	Arabidopsis thaliana	Root	Shaded	Normal	Col-0	BFO-SynCom	mock	35	2	ShijiHou	1	TRUE
3470_U	SC_Root_Y_3	Arabidopsis thaliana	Root	Shaded	Normal	Col-0	BFO-SynCom	mock	35	3	ShijiHou	1	TRUE
3470_V	SC_Shoot_Y_1	Arabidopsis thaliana	Shoot	Shaded	Normal	Col-0	BFO-SynCom	mock	35	1	ShijiHou	1	FALSE
3470_W	SC_Shoot_Y_2	Arabidopsis thaliana	Shoot	Shaded	Normal	Col-0	BFO-SynCom	mock	35	2	ShijiHou	1	FALSE
3470_X	SC_Shoot_Y_3	Arabidopsis thaliana	Shoot	Shaded	Normal	Col-0	BFO-SynCom	mock	35	3	ShijiHou	1	FALSE
4339_A	SC_Shoot_Y_1	Arabidopsis thaliana	Shoot	Shaded	Normal	MYC2-FLAG	BFO-SynCom	mock	35	1	ShijiHou_myc	2	FALSE
4339_B	SC_Shoot_Y_2	Arabidopsis thaliana	Shoot	Shaded	Normal	MYC2-FLAG	BFO-SynCom	mock	35	2	ShijiHou_myc	2	FALSE
4339_C	SC_Shoot_Y_3	Arabidopsis thaliana	Shoot	Shaded	Normal	MYC2-FLAG	BFO-SynCom	mock	35	3	ShijiHou_myc	2	FALSE
4339_D	SC_Shoot_N_1	Arabidopsis thaliana	Shoot	Shaded	Normal	MYC2-FLAG	axenic	mock	35	1	ShijiHou_myc	2	FALSE
4339_E	SC_Shoot_N_2	Arabidopsis thaliana	Shoot	Shaded	Normal	MYC2-FLAG	axenic	mock	35	2	ShijiHou_myc	2	FALSE
4339_F	SC_Shoot_N_3	Arabidopsis thaliana	Shoot	Shaded	Normal	MYC2-FLAG	axenic	mock	35	3	ShijiHou_myc	2	FALSE
4339_G	NC_Shoot_N_1	Arabidopsis thaliana	Shoot	Normal	Normal	MYC2-FLAG	axenic	mock	35	1	ShijiHou_myc	2	FALSE
4339_H	NC_Shoot_N_2	Arabidopsis thaliana	Shoot	Normal	Normal	MYC2-FLAG	axenic	mock	35	2	ShijiHou_myc	2	FALSE
4339_I	NC_Shoot_N_3	Arabidopsis thaliana	Shoot	Normal	Normal	MYC2-FLAG	axenic	mock	35	3	ShijiHou_myc	2	FALSE
4339_J	NC_Shoot_Y_1	Arabidopsis thaliana	Shoot	Normal	Normal	MYC2-FLAG	BFO-SynCom	mock	35	1	ShijiHou_myc	2	FALSE
4339_K	NC_Shoot_Y_2	Arabidopsis thaliana	Shoot	Normal	Normal	MYC2-FLAG	BFO-SynCom	mock	35	2	ShijiHou_myc	2	FALSE
4339_L	NC_Shoot_Y_3	Arabidopsis thaliana	Shoot	Normal	Normal	MYC2-FLAG	BFO-SynCom	mock	35	3	ShijiHou_myc	2	FALSE
4339_M	NC_Root_N_1	Arabidopsis thaliana	Root	Normal	Normal	MYC2-FLAG	axenic	mock	35	1	ShijiHou_myc	2	TRUE
4339_N	NC_Root_N_2	Arabidopsis thaliana	Root	Normal	Normal	MYC2-FLAG	axenic	mock	35	2	ShijiHou_myc	2	TRUE
4339_O	NC_Root_N_3	Arabidopsis thaliana	Root	Normal	Normal	MYC2-FLAG	axenic	mock	35	3	ShijiHou_myc	2	TRUE
4339_P	SC_Root_N_1	Arabidopsis thaliana	Root	Shaded	Normal	MYC2-FLAG	axenic	mock	35	1	ShijiHou_myc	2	TRUE
4339_Q	SC_Root_N_2	Arabidopsis thaliana	Root	Shaded	Normal	MYC2-FLAG	axenic	mock	35	2	ShijiHou_myc	2	TRUE
4339_R	SC_Root_N_3	Arabidopsis thaliana	Root	Shaded	Normal	MYC2-FLAG	axenic	mock	35	3	ShijiHou_myc	2	TRUE
4339_S	SC_Root_Y_1	Arabidopsis thaliana	Root	Shaded	Normal	MYC2-FLAG	BFO-SynCom	mock	35	1	ShijiHou_myc	2	TRUE
4339_T	SC_Root_Y_2	Arabidopsis thaliana	Root	Shaded	Normal	MYC2-FLAG	BFO-SynCom	mock	35	2	ShijiHou_myc	2	TRUE
4339_U	SC_Root_Y_3	Arabidopsis thaliana	Root	Shaded	Normal	MYC2-FLAG	BFO-SynCom	mock	35	3	ShijiHou_myc	2	TRUE
4339_V	NC_Root_Y_1	Arabidopsis thaliana	Root	Normal	Normal	MYC2-FLAG	BFO-SynCom	mock	35	1	ShijiHou_myc	2	TRUE
4339_W	NC_Root_Y_2	Arabidopsis thaliana	Root	Normal	Normal	MYC2-FLAG	BFO-SynCom	mock	35	2	ShijiHou_myc	2	TRUE
4339_X	NC_Root_Y_3	Arabidopsis thaliana	Root	Normal	Normal	MYC2-FLAG	BFO-SynCom	mock	35	3	ShijiHou_myc	2	TRUE
4340_A	NC_Shoot_N_1	Arabidopsis thaliana	Shoot	Normal	Normal	myc2-3	axenic	mock	35	1	ShijiHou_myc	2	FALSE
4340_B	NC_Shoot_N_2	Arabidopsis thaliana	Shoot	Normal	Normal	myc2-3	axenic	mock	35	2	ShijiHou_myc	2	FALSE
4340_C	NC_Shoot_N_3	Arabidopsis thaliana	Shoot	Normal	Normal	myc2-3	axenic	mock	35	3	ShijiHou_myc	2	FALSE
4340_D	NC_Shoot_Y_1	Arabidopsis thaliana	Shoot	Normal	Normal	myc2-3	BFO-SynCom	mock	35	1	ShijiHou_myc	2	FALSE
4340_E	NC_Shoot_Y_2	Arabidopsis thaliana	Shoot	Normal	Normal	myc2-3	BFO-SynCom	mock	35	2	ShijiHou_myc	2	FALSE
4340_F	NC_Shoot_Y_3	Arabidopsis thaliana	Shoot	Normal	Normal	myc2-3	BFO-SynCom	mock	35	3	ShijiHou_myc	2	FALSE
4340_G	SC_Shoot_N_1	Arabidopsis thaliana	Shoot	Shaded	Normal	myc2-3	axenic	mock	35	1	ShijiHou_myc	2	FALSE
4340_H	SC_Shoot_N_2	Arabidopsis thaliana	Shoot	Shaded	Normal	myc2-3	axenic	mock	35	2	ShijiHou_myc	2	FALSE
4340_I	SC_Shoot_N_3	Arabidopsis thaliana	Shoot	Shaded	Normal	myc2-3	axenic	mock	35	3	ShijiHou_myc	2	FALSE
4340_J	SC_Shoot_Y_1	Arabidopsis thaliana	Shoot	Shaded	Normal	myc2-3	BFO-SynCom	mock	35	1	ShijiHou_myc	2	FALSE
4340_K	SC_Shoot_Y_2	Arabidopsis thaliana	Shoot	Shaded	Normal	myc2-3	BFO-SynCom	mock	35	2	ShijiHou_myc	2	FALSE
4340_L	SC_Shoot_Y_3	Arabidopsis thaliana	Shoot	Shaded	Normal	myc2-3	BFO-SynCom	mock	35	3	ShijiHou_myc	2	FALSE
4340_M	NC_Root_Y_1	Arabidopsis thaliana	Root	Normal	Normal	myc2-3	BFO-SynCom	mock	35	1	ShijiHou_myc	2	TRUE
4340_N	NC_Root_Y_2	Arabidopsis thaliana	Root	Normal	Normal	myc2-3	BFO-SynCom	mock	35	2	ShijiHou_myc	2	TRUE
4340_O	NC_Root_Y_3	Arabidopsis thaliana	Root	Normal	Normal	myc2-3	BFO-SynCom	mock	35	3	ShijiHou_myc	2	TRUE
4340_P	NC_Root_N_1	Arabidopsis thaliana	Root	Normal	Normal	myc2-3	axenic	mock	35	1	ShijiHou_myc	2	TRUE
4340_Q	NC_Root_N_2	Arabidopsis thaliana	Root	Normal	Normal	myc2-3	axenic	mock	35	2	ShijiHou_myc	2	TRUE
4340_R	NC_Root_N_3	Arabidopsis thaliana	Root	Normal	Normal	myc2-3	axenic	mock	35	3	ShijiHou_myc	2	TRUE
4340_S	SC_Root_Y_1	Arabidopsis thaliana	Root	Shaded	Normal	myc2-3	BFO-SynCom	mock	35	1	ShijiHou_myc	2	TRUE
4340_T	SC_Root_Y_2	Arabidopsis thaliana	Root	Shaded	Normal	myc2-3	BFO-SynCom	mock	35	2	ShijiHou_myc	2	TRUE
4340_U	SC_Root_Y_3	Arabidopsis thaliana	Root	Shaded	Normal	myc2-3	BFO-SynCom	mock	35	3	ShijiHou_myc	2	TRUE
4340_V	SC_Root_N_1	Arabidopsis thaliana	Root	Shaded	Normal	myc2-3	axenic	mock	35	1	ShijiHou_myc	2	TRUE
4340_W	SC_Root_N_2	Arabidopsis thaliana	Root	Shaded	Normal	myc2-3	axenic	mock	35	2	ShijiHou_myc	2	TRUE
4340_X	SC_Root_N_3	Arabidopsis thaliana	Root	Shaded	Normal	myc2-3	axenic	mock	35	3	ShijiHou_myc	2	TRUE
